Frame,"Comp_Sky (ms)","G-Buffer (ms)","RT (ms)","SVGF_Spatial_1 (ms)","SVGF_Spatial_16 (ms)","SVGF_Spatial_2 (ms)","SVGF_Spatial_4 (ms)","SVGF_Spatial_8 (ms)","SVGF_Temp (ms)"
65,0.05456,0.396928,2.668,0.262016,0.253856,0.249728,0.243616,0.245632,0.280448
66,0.05456,0.560128,2.19024,0.267552,0.251776,0.249728,0.243584,0.245632,0.491392
67,0.05456,0.396736,2.39834,0.264096,0.253824,0.249728,0.243584,0.245632,0.26816
68,0.054464,0.395936,2.19354,0.264096,0.253824,0.249728,0.400288,0.253184,0.26816
69,0.054304,0.396064,2.49286,0.264096,0.253824,0.24768,0.243584,0.245632,0.26816
70,0.054336,0.395872,2.41203,0.264096,0.253824,0.401312,0.247072,0.245568,0.26816
71,0.054592,0.397856,2.39792,0.264096,0.251776,0.24976,0.243584,0.245664,0.270176
72,0.054432,0.396256,2.38067,0.264064,0.253824,0.24976,0.243584,0.245664,0.272288
73,0.054368,0.698336,2.19802,0.264064,0.251776,0.24976,0.243616,0.245664,0.27024
74,0.057376,0.613184,2.39635,0.262016,0.433024,0.249728,0.243584,0.245632,0.270208
75,0.053824,0.39616,2.18877,0.264064,0.2528,0.249728,0.243584,0.245632,0.270208
76,0.054368,0.396352,2.3896,0.533376,0.253824,0.25728,0.245632,0.245664,0.268192
77,0.055168,0.397888,2.19309,0.291744,0.253856,0.265408,0.241568,0.245664,0.490368
78,0.054304,0.396672,2.54899,0.264064,0.253824,0.249728,0.243584,0.245632,0.278432
79,0.055392,0.399232,2.21008,0.264064,0.255904,0.251808,0.245664,0.245632,0.27024
80,0.053376,0.401824,2.5032,0.266144,0.263328,0.251808,0.245632,0.388,0.27024
81,0.054432,0.398816,2.65744,0.266144,0.253824,0.249728,0.245632,0.247712,0.270208
82,0.05392,0.398656,2.22112,0.266144,0.253824,0.2528,0.245632,0.245632,0.268192
83,0.055072,0.398624,2.21632,0.267488,0.255904,0.251776,0.245632,0.247712,0.4136
84,0.054752,0.69664,2.21322,0.266112,0.255872,0.251776,0.245632,0.245632,0.270208
85,0.05472,0.398336,2.59325,0.266144,0.253824,0.24976,0.245664,0.245664,0.274304
86,0.054176,0.397696,2.20842,0.266144,0.255904,0.251808,0.245664,0.245664,0.270208
87,0.054816,0.397056,2.39245,0.266112,0.255872,0.251776,0.514976,0.25104,0.270208
88,0.052192,0.398528,2.22048,0.266144,0.275744,0.252832,0.245664,0.453536,0.268192
89,0.05472,0.396736,2.44941,0.266144,0.255872,0.251808,0.397184,0.251168,0.27024
90,0.054496,0.39776,2.21088,0.266112,0.253824,0.250752,0.245632,0.245632,0.270208
91,0.054112,0.559872,2.51443,0.264096,0.255904,0.251776,0.245632,0.247712,0.268192
92,0.054944,0.397408,2.21258,0.45248,0.251776,0.25728,0.279456,0.262048,0.27024
93,0.054624,0.39728,2.37709,0.265504,0.253824,0.24976,0.243584,0.245632,0.451456
