Frame,CPU_Time_ms,VRAM_MB,RAM_MB,Fragment_Invocations,Compute_Invocations
132,4.89044,3766,1522,6547088,12165120
133,4.3335,3766,1522,6546740,12165120
134,4.42886,3766,1522,6546980,12165120
135,4.87137,3766,1522,6550264,12165120
136,4.83322,3766,1522,6546884,12165120
137,4.48608,3766,1522,6545967,12165120
138,4.79507,3766,1522,6546592,12165120
139,4.56238,3766,1522,6546388,12165120
140,4.60815,3766,1522,6546555,12165120
141,4.36783,3766,1522,6546922,12165120
142,4.87137,3766,1522,6546224,12165120
143,4.77219,3766,1522,6547187,12165120
144,4.55856,3766,1522,6547017,12165120
145,4.776,3766,1522,6547080,12165120
146,5.34821,3766,1522,6546837,12165120
147,3.87955,3766,1522,6546617,12165120
148,4.3335,3766,1522,6546246,12165120
149,4.90189,3766,1522,6546609,12165120
150,4.63104,3766,1522,6546426,12165120
151,4.64249,3766,1522,6546925,12165120
152,4.69208,3766,1522,6546152,12165120
153,4.57764,3766,1522,6546338,12165120
154,4.879,3766,1522,6547089,12165120
155,4.26102,3766,1522,6546336,12165120
156,4.73404,3766,1522,6546776,12165120
157,4.7493,3766,1522,6546849,12165120
158,4.40598,3766,1522,6546917,12165120
159,4.44031,3766,1522,6546437,12165120
160,4.76074,3766,1522,6545962,12165120
161,4.776,3766,1522,6547435,12165120
162,4.43268,3766,1522,6547054,12165120
163,4.71878,3766,1522,6546395,12165120
164,4.52805,3766,1522,6546392,12165120
165,4.53949,3766,1522,6546708,12165120
166,4.59671,3766,1522,6546300,12165120
167,4.87518,3766,1522,6546440,12165120
168,4.54712,3766,1522,6546570,12165120
169,4.57382,3766,1522,6546519,12165120
170,4.39835,3766,1522,6549616,12165120
171,4.96292,3766,1522,6546571,12165120
172,4.97055,3766,1522,6546799,12165120
173,4.13513,3766,1522,6547246,12165120
174,4.74548,3766,1522,6546993,12165120
175,4.67682,3766,1522,6546372,12165120
176,4.56238,3766,1522,6546714,12165120
177,4.36401,3766,1522,6546786,12165120
178,4.80652,3766,1522,6546641,12165120
179,4.69971,3766,1522,6546466,12165120
180,4.60052,3766,1522,6546498,12165120
181,4.6463,3766,1522,6546292,12165120
182,4.91714,3766,1522,6547384,12165120
183,4.44412,3766,1522,6546865,12165120
184,4.38309,3766,1522,6546102,12165120
185,4.84085,3766,1522,6546126,12165120
186,4.97818,3766,1522,6546964,12165120
187,4.33731,3766,1522,6546549,12165120
188,4.3869,3766,1522,6547373,12165120
189,4.86374,3766,1522,6537007,12165120
190,4.57001,3766,1522,6546841,12165120
191,4.45557,3766,1522,6547214,12165120
192,4.74548,3766,1522,6546625,12165120
193,5.06592,3766,1522,6546439,12165120
194,4.37546,3766,1522,6546678,12165120
195,4.45557,3766,1522,6547038,12165120
196,4.95529,3766,1522,6546859,12165120
197,4.66537,3766,1522,6546876,12165120
198,4.33731,3766,1522,6546497,12165120
199,4.92477,3766,1522,6546401,12165120
200,4.49753,3766,1522,6546717,12165120
201,4.58145,3766,1522,6546100,12165120
202,4.4136,3766,1522,6547272,12165120
203,4.77982,3766,1522,6546768,12165120
204,4.55475,3766,1522,6546203,12165120
205,4.42123,3766,1522,6547165,12165120
206,4.5166,3766,1522,6550815,12165120
207,5.01633,3766,1522,6546476,12165120
208,4.47464,3766,1522,6546901,12165120
209,4.41742,3766,1522,6546562,12165120
210,4.92859,3766,1522,6547875,12165120
211,4.55856,3766,1522,6546676,12165120
212,4.65393,3766,1522,6546086,12165120
213,4.51279,3766,1522,6548233,12165120
214,4.94003,3766,1522,6547418,12165120
215,4.56619,3766,1522,6546790,12165120
216,5.42068,3766,1522,6530930,12165120
217,3.79181,3766,1522,6546608,12165120
218,5.04303,3766,1522,6547259,12165120
219,4.40979,3766,1522,6546761,12165120
220,4.52042,3766,1522,6546827,12165120
221,4.69589,3766,1522,6547369,12165120
222,4.673,3766,1522,6546878,12165120
223,4.63867,3766,1522,6548822,12165120
224,4.6463,3766,1522,6546509,12165120
225,4.44031,3766,1522,6546077,12165120
226,4.34875,3766,1522,6546999,12165120
227,4.52423,3766,1522,6546546,12165120
228,4.72641,3766,1522,6547115,12165120
229,4.45938,3766,1522,6546569,12165120
230,4.42123,3766,1522,6545785,12165120
231,4.39453,3766,1522,6545999,12165120
232,4.73785,3766,1522,6546282,12165120
233,4.92477,3766,1522,6547156,12165120
234,3.90244,3766,1522,6547378,12165120
235,4.40598,3766,1522,6548355,12165120
236,4.76837,3766,1522,6546855,12165120
237,4.68445,3766,1522,6546561,12165120
238,4.16946,3766,1522,6546863,12165120
239,4.70352,3766,1522,6547012,12165120
240,4.60052,3766,1522,6546493,12165120
241,4.38309,3766,1522,6546884,12165120
242,4.40979,3766,1522,6546992,12165120
243,4.89426,3766,1522,6546997,12165120
244,4.79126,3766,1522,6547002,12165120
245,4.50516,3766,1522,6546716,12165120
246,4.15421,3766,1522,6546617,12165120
247,4.98962,3766,1522,6546586,12165120
248,4.3602,3766,1522,6547075,12165120
249,4.26483,3766,1522,6546942,12165120
250,5.1918,3766,1522,6547526,12165120
251,4.08173,3766,1522,6547444,12165120
252,4.37546,3766,1522,6546812,12165120
253,4.40598,3766,1522,6546450,12165120
254,4.85229,3766,1522,6546185,12165120
255,4.40598,3766,1522,6546991,12165120
256,4.31442,3766,1522,6548067,12165120
257,4.40216,3766,1522,6546933,12165120
258,4.85229,3766,1522,6546596,12165120
259,4.44412,3766,1522,6546696,12165120
260,4.36401,3766,1522,6546574,12165120
261,4.8027,3766,1510,6547120,12165120
262,4.3602,3766,1510,6546864,12165120
263,4.3335,3766,1510,6547028,12165120
264,4.56238,3766,1510,6547099,12165120
265,5.56946,3766,1510,6547127,12165120
266,4.82178,3766,1510,6546932,12165120
267,4.11224,3766,1510,6546546,12165120
268,4.80652,3766,1510,6547153,12165120
269,4.85229,3766,1510,6547169,12165120
270,4.14276,3766,1510,6545900,12165120
271,5.24902,3766,1510,6545547,12165120
272,4.59671,3766,1510,6548890,12165120
273,5.16129,3766,1510,6546355,12165120
274,4.35257,3766,1510,6546819,12165120
275,4.79889,3766,1510,6546646,12165120
276,4.79126,3766,1510,6549041,12165120
277,4.54712,3766,1510,6546594,12165120
278,4.29153,3766,1510,6547222,12165120
279,4.66156,3766,1510,6547352,12165120
280,5.02396,3766,1510,6546384,12165120
281,4.53949,3766,1510,6546452,12165120
282,4.29153,3766,1510,6546719,12165120
283,5.1918,3766,1510,6546974,12165120
284,4.29153,3766,1510,6546850,12165120
285,4.42123,3766,1510,6547286,12165120
286,4.68445,3766,1510,6546150,12165120
287,5.0354,3766,1510,6546969,12165120
288,4.46701,3766,1510,6547145,12165120
289,4.53568,3766,1510,6546462,12165120
290,5.11551,3766,1510,6545890,12165120
291,4.72641,3766,1510,6546953,12165120
292,3.95584,3766,1510,6546747,12165120
293,4.32968,3766,1510,6546871,12165120
294,5.24521,3766,1510,6547177,12165120
295,4.43649,3766,1510,6546883,12165120
296,4.36401,3766,1510,6546190,12165120
297,4.84467,3766,1510,6547729,12165120
298,4.74167,3766,1510,6547298,12165120
299,4.40598,3766,1510,6547607,12165120
300,4.43268,3766,1510,6546212,12165120
301,5.40161,3766,1510,6545782,12165120
302,4.5433,3766,1510,6547009,12165120
303,4.4136,3766,1510,6546867,12165120
304,4.71497,3766,1510,6547070,12165120
305,4.90189,3766,1510,6547007,12165120
306,4.43268,3766,1510,6546739,12165120
307,4.40598,3766,1510,6547573,12165120
308,5.1918,3766,1510,6546823,12165120
309,4.45175,3766,1510,6546593,12165120
310,4.50516,3766,1510,6546295,12165120
311,4.26865,3766,1510,6548227,12165120
312,5.09262,3766,1510,6546581,12165120
313,4.3335,3766,1510,6546239,12165120
314,4.46701,3766,1510,6546657,12165120
315,5.33676,3766,1510,6546560,12165120
316,4.25339,3766,1510,6547099,12165120
317,4.26483,3766,1510,6547042,12165120
318,4.42505,3766,1510,6547543,12165120
319,4.83704,3766,1510,6547412,12165120
320,4.39072,3766,1510,6547318,12165120
321,5.88989,3766,1510,6546996,12165120
322,3.4523,3766,1510,6546147,12165120
323,4.52423,3766,1510,6546894,12165120
324,4.39453,3766,1510,6546264,12165120
325,4.40598,3766,1510,6546784,12165120
326,4.89426,3766,1510,6546797,12165120
327,4.52042,3766,1510,6546445,12165120
328,4.42505,3766,1510,6546269,12165120
329,4.42123,3766,1510,6546476,12165120
330,5.07736,3766,1510,6547385,12165120
331,4.30298,3766,1510,6547069,12165120
332,4.86755,3766,1510,6546763,12165120
333,4.2572,3766,1510,6547036,12165120
334,4.66156,3766,1510,6546655,12165120
335,4.52423,3766,1510,6547197,12165120
336,4.2038,3766,1510,6547346,12165120
337,4.72641,3766,1510,6547037,12165120
338,4.57382,3766,1510,6547030,12165120
339,4.48608,3766,1510,6546708,12165120
340,4.52423,3766,1510,6546700,12165120
341,4.65012,3766,1510,6546621,12165120
342,4.40979,3766,1510,6546752,12165120
343,4.68445,3766,1510,6547217,12165120
344,4.58527,3766,1510,6547233,12165120
345,4.54712,3766,1510,6546188,12165120
346,4.24576,3766,1510,6546544,12165120
347,4.45557,3766,1510,6547203,12165120
348,4.79126,3766,1510,6546139,12165120
349,4.44031,3766,1510,6547707,12165120
350,4.43649,3766,1510,6546222,12165120
351,4.37546,3766,1510,6546144,12165120
352,4.92477,3766,1510,6545791,12165120
353,4.3602,3766,1510,6546776,12165120
354,4.40216,3766,1510,6547532,12165120
355,4.77982,3766,1510,6547385,12165120
356,4.42123,3766,1510,6546216,12165120
357,4.36783,3766,1510,6546611,12165120
358,4.4899,3766,1510,6546043,12165120
359,4.82941,3766,1510,6546929,12165120
360,4.44794,3766,1510,6547317,12165120
361,4.39072,3766,1510,6546679,12165120
362,4.40216,3766,1510,6546923,12165120
363,5.14221,3766,1510,6545897,12165120
364,4.11987,3766,1510,6546321,12165120
365,4.39072,3766,1510,6546959,12165120
366,4.36401,3766,1510,6547198,12165120
367,4.85992,3766,1510,6547128,12165120
368,4.60815,3766,1510,6546621,12165120
369,4.52805,3766,1510,6546042,12165120
370,4.71497,3766,1510,6546493,12165120
371,4.57382,3766,1510,6546858,12165120
372,4.3335,3766,1510,6546534,12165120
373,4.44412,3766,1510,6546799,12165120
374,4.92096,3766,1510,6546740,12165120
375,4.3602,3766,1510,6546949,12165120
376,4.40598,3766,1510,6547383,12165120
377,4.75311,3766,1510,6545868,12165120
378,4.63867,3766,1510,6546806,12165120
379,4.29535,3766,1510,6547310,12165120
380,4.40598,3766,1510,6546477,12165120
381,4.9057,3766,1510,6546738,12165120
382,4.56619,3766,1510,6546526,12165120
383,4.18472,3766,1510,6546506,12165120
384,4.42886,3766,1510,6546972,12165120
385,4.97055,3766,1510,6546655,12165120
386,4.39453,3766,1510,6546841,12165120
387,4.4632,3766,1510,6547134,12165120
388,4.673,3766,1510,6548501,12165120
389,4.65775,3766,1510,6546970,12165120
390,4.42886,3766,1510,6546681,12165120
391,4.46701,3766,1510,6549043,12165120
392,4.9057,3766,1510,6546613,12165120
393,4.71878,3766,1510,6546961,12165120
394,7.15637,3766,1510,6546244,12165120
395,5.53513,3766,1510,6550752,12165120
396,2.07901,3766,1510,6546250,12165120
397,3.86047,3766,1510,6547240,12165120
398,4.22668,3766,1510,6546758,12165120
399,4.79507,3766,1510,6546434,12165120
400,4.67682,3766,1510,6547349,12165120
401,4.26865,3766,1510,6546800,12165120
402,4.29535,3766,1510,6546926,12165120
403,4.76837,3766,1510,6546858,12165120
404,4.7226,3766,1510,6546637,12165120
405,4.3335,3766,1510,6546734,12165120
406,4.34875,3766,1510,6546894,12165120
407,4.82941,3766,1510,6546592,12165120
408,4.88663,3766,1510,6546988,12165120
409,4.12369,3766,1510,6547374,12165120
410,4.27628,3766,1510,6546414,12165120
411,5.46646,3766,1510,6547049,12165120
412,3.71933,3766,1510,6546490,12165120
413,4.58527,3766,1510,6547449,12165120
414,4.98962,3766,1510,6547255,12165120
415,3.94058,3766,1510,6546397,12165120
416,4.76074,3766,1510,6546808,12165120
417,4.21906,3766,1510,6547309,12165120
418,5.23758,3766,1510,6546724,12165120
419,3.8414,3766,1510,6546515,12165120
420,4.44412,3766,1510,6546106,12165120
421,4.9057,3766,1510,6547229,12165120
422,4.28772,3766,1510,6547061,12165120
423,4.29535,3766,1510,6546470,12165120
424,4.81033,3766,1510,6546817,12165120
425,4.50516,3766,1510,6546967,12165120
426,4.76837,3766,1510,6546245,12165120
427,4.5166,3766,1510,6546655,12165120
428,3.85666,3766,1510,6546752,12165120
429,5.13077,3766,1510,6546729,12165120
430,4.08936,3766,1510,6546101,12165120
431,5.02777,3766,1510,6547144,12165120
432,4.35257,3766,1510,6546441,12165120
433,4.54712,3766,1510,6546864,12165120
434,4.90952,3766,1510,6546804,12165120
435,3.80707,3766,1510,6546378,12165120
436,5.48935,3766,1510,6547010,12165120
437,3.82233,3766,1510,6546882,12165120
438,4.36783,3766,1510,6546369,12165120
439,4.72641,3766,1510,6546489,12165120
440,4.45557,3766,1510,6546894,12165120
441,4.31061,3766,1510,6547223,12165120
442,5.06973,3766,1510,6547293,12165120
443,3.77655,3766,1510,6549941,12165120
444,4.90952,3766,1510,6547641,12165120
445,4.07028,3766,1510,6546762,12165120
446,4.84085,3766,1510,6547222,12165120
447,4.71497,3766,1510,6547637,12165120
448,4.16946,3766,1510,6546135,12165120
449,5.85556,3766,1510,6547034,12165120
450,2.9335,3766,1510,6546860,12165120
451,5.25284,3766,1510,6546984,12165120
452,4.08936,3766,1510,6545861,12165120
453,4.48227,3766,1510,6546350,12165120
454,4.55475,3766,1510,6546384,12165120
455,4.65393,3766,1510,6546069,12165120
456,4.37164,3766,1510,6546790,12165120
457,4.51279,3766,1510,6547381,12165120
458,4.58908,3766,1510,6547024,12165120
459,5.00107,3766,1510,6546395,12165120
460,3.94058,3766,1510,6546910,12165120
461,4.73022,3766,1510,6546601,12165120
462,4.4899,3766,1510,6546628,12165120
463,4.36783,3766,1510,6545729,12165120
464,4.57764,3766,1510,6546802,12165120
465,4.18854,3766,1510,6546740,12165120
466,4.98581,3766,1510,6546758,12165120
467,4.26483,3766,1510,6546715,12165120
468,4.3869,3766,1510,6546990,12165120
469,4.56238,3766,1510,6547278,12165120
470,4.40216,3766,1510,6549809,12165120
471,4.82941,3766,1510,6546374,12165120
472,3.95584,3766,1510,6546721,12165120
473,4.85611,3766,1510,6546360,12165120
474,4.63867,3766,1510,6547231,12165120
475,4.35257,3766,1510,6546442,12165120
476,4.23813,3766,1510,6546432,12165120
477,4.97437,3766,1510,6547463,12165120
478,4.11987,3766,1510,6546515,12165120
479,6.86264,3766,1510,6547001,12165120
480,2.2316,3766,1504,6546374,12165120
481,4.92096,3766,1502,6546416,12165120
482,4.25339,3766,1502,6544363,12165120
483,4.11987,3766,1502,6545508,12165120
484,4.90189,3766,1502,6544444,12165120
485,4.30298,3766,1502,6544374,12165120
486,4.68445,3766,1502,6544563,12165120
487,4.7493,3766,1502,6542896,12165120
488,4.31442,3766,1502,6543489,12165120
489,4.83704,3766,1502,6541207,12165120
490,3.9978,3766,1502,6530949,12165120
491,4.82941,3766,1502,6530376,12165120
492,5.43594,3766,1502,6516607,12165120
493,3.33786,3766,1502,6516747,12165120
494,4.70734,3766,1502,6496260,12165120
495,5.59616,3766,1502,6438946,12165120
496,3.95584,3766,1502,6438869,12165120
497,4.5166,3766,1502,6420360,12165120
498,4.61197,3766,1502,6455968,12165120
499,5.04684,3766,1502,6458338,12165120
500,4.75693,3766,1502,6468466,12165120
501,4.673,3766,1502,6469118,12165120
502,4.94385,3766,1502,6466598,12165120
503,5.03159,3766,1502,6205368,12165120
504,4.37164,3766,1502,6134137,12165120
505,5.04684,3766,1502,6140206,12165120
506,4.78363,3766,1502,6117729,12165120
507,4.95148,3766,1502,6124583,12165120
508,4.65012,3766,1502,6102848,12165120
509,4.77219,3766,1502,6101766,12165120
510,4.97818,3766,1502,6083126,12165120
511,4.49753,3766,1502,6059467,12165120
512,4.73404,3766,1502,6059162,12165120
513,5.08118,3766,1502,6140847,12165120
514,4.78363,3766,1502,6197736,12165120
515,4.35638,3766,1502,6199481,12165120
516,5.43976,3766,1502,6236192,12165120
517,4.66156,3766,1502,6300103,12165120
518,4.60815,3766,1502,6297042,12165120
519,5.22232,3766,1502,6359819,12165120
520,4.50516,3766,1502,6402681,12165120
521,5.3978,3766,1502,6402489,12165120
522,4.39453,3766,1502,6434271,12165120
523,4.86374,3766,1502,6435494,12165120
524,4.76456,3766,1502,6471714,12165120
525,4.57382,3766,1502,6530130,12165120
526,4.78745,3766,1502,6530410,12165120
527,5.14603,3766,1502,6573840,12165120
528,4.55475,3766,1502,6609536,12165120
